"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 10:03:59 GMT 2023","Thu Feb 09 10:04:07 GMT 2023","7927","","Inspections & Drafts","","Inspections & Drafts","INS-4: Verify that user is able to filter by unitID [@smoke]","INS-4: Verify that user is able to filter by unitID [@smoke]",""
"passed","Thu Feb 09 10:06:34 GMT 2023","Thu Feb 09 10:06:41 GMT 2023","7430","","Inspections & Drafts","","Inspections & Drafts","INS-18: Verify that user is able to sort on updatedAt [@smoke]","INS-18: Verify that user is able to sort on updatedAt [@smoke]",""
"passed","Thu Feb 09 10:06:00 GMT 2023","Thu Feb 09 10:06:08 GMT 2023","8461","","Inspections & Drafts","","Inspections & Drafts","INS-14: Verify filters by updatedAt [@smoke]","INS-14: Verify filters by updatedAt [@smoke]",""
"passed","Thu Feb 09 10:05:34 GMT 2023","Thu Feb 09 10:05:42 GMT 2023","8669","","Inspections & Drafts","","Inspections & Drafts","INS-11: Verify that user is able to filter by department [@smoke]","INS-11: Verify that user is able to filter by department [@smoke]",""
"passed","Thu Feb 09 10:06:19 GMT 2023","Thu Feb 09 10:06:26 GMT 2023","7523","","Inspections & Drafts","","Inspections & Drafts","INS-16: Verify that user is able to sort on unitID [@smoke]","INS-16: Verify that user is able to sort on unitID [@smoke]",""
"passed","Thu Feb 09 10:03:29 GMT 2023","Thu Feb 09 10:03:34 GMT 2023","5050","","Login","","Login","LG-1: Login with invalid credentials","LG-1: Login with invalid credentials",""
"passed","Thu Feb 09 10:04:15 GMT 2023","Thu Feb 09 10:04:24 GMT 2023","8958","","Inspections & Drafts","","Inspections & Drafts","INS-6: Verify that user is able to filter by location [@smoke]","INS-6: Verify that user is able to filter by location [@smoke]",""
"passed","Thu Feb 09 10:06:08 GMT 2023","Thu Feb 09 10:06:19 GMT 2023","10556","","Inspections & Drafts","","Inspections & Drafts","INS-15: Verify filters by createdAt, updatedAt [@smoke]","INS-15: Verify filters by createdAt, updatedAt [@smoke]",""
"passed","Thu Feb 09 10:05:05 GMT 2023","Thu Feb 09 10:05:14 GMT 2023","8857","","Inspections & Drafts","","Inspections & Drafts","INS-8: Verify that user is able to filter by user [@smoke]","INS-8: Verify that user is able to filter by user [@smoke]",""
"passed","Thu Feb 09 10:03:29 GMT 2023","Thu Feb 09 10:03:44 GMT 2023","15287","","Inspections & Drafts","","Inspections & Drafts","INS-1: Verify that user is able to search Notation [@smoke]","INS-1: Verify that user is able to search Notation [@smoke]",""
"passed","Thu Feb 09 10:06:26 GMT 2023","Thu Feb 09 10:06:34 GMT 2023","7423","","Inspections & Drafts","","Inspections & Drafts","INS-17: Verify that user is able to sort on createdAt [@smoke]","INS-17: Verify that user is able to sort on createdAt [@smoke]",""
"passed","Thu Feb 09 10:03:52 GMT 2023","Thu Feb 09 10:03:59 GMT 2023","7217","","Inspections & Drafts","","Inspections & Drafts","INS-3: Verify that user is able to search Digital form - Notation [@smoke]","INS-3: Verify that user is able to search Digital form - Notation [@smoke]",""
"passed","Thu Feb 09 10:03:44 GMT 2023","Thu Feb 09 10:03:52 GMT 2023","7426","","Inspections & Drafts","","Inspections & Drafts","INS-2: Verify that user is able to search Digital Form [@smoke]","INS-2: Verify that user is able to search Digital Form [@smoke]",""
"failed","Thu Feb 09 10:05:14 GMT 2023","Thu Feb 09 10:05:23 GMT 2023","8896","","Inspections & Drafts","","Inspections & Drafts","INS-9: Verify that user is able to filter by type [@smoke]","INS-9: Verify that user is able to filter by type [@smoke]",""
"passed","Thu Feb 09 10:05:23 GMT 2023","Thu Feb 09 10:05:34 GMT 2023","10922","","Inspections & Drafts","","Inspections & Drafts","INS-10: Verify that user is able to filter by workflow [@smoke]","INS-10: Verify that user is able to filter by workflow [@smoke]",""
"passed","Thu Feb 09 10:04:07 GMT 2023","Thu Feb 09 10:04:15 GMT 2023","8567","","Inspections & Drafts","","Inspections & Drafts","INS-5: Verify that user is able to filter by region [@smoke]","INS-5: Verify that user is able to filter by region [@smoke]",""
"passed","Thu Feb 09 10:03:34 GMT 2023","Thu Feb 09 10:03:34 GMT 2023","780","","Login","","Login","LG-2: Login with valid credentials","LG-2: Login with valid credentials",""
"passed","Thu Feb 09 10:05:42 GMT 2023","Thu Feb 09 10:05:51 GMT 2023","8771","","Inspections & Drafts","","Inspections & Drafts","INS-12: Verify that user is able to filter by damage [@smoke]","INS-12: Verify that user is able to filter by damage [@smoke]",""
"passed","Thu Feb 09 10:05:51 GMT 2023","Thu Feb 09 10:06:00 GMT 2023","8647","","Inspections & Drafts","","Inspections & Drafts","INS-13: Verify filters by createdAt [@smoke]","INS-13: Verify filters by createdAt [@smoke]",""
"passed","Thu Feb 09 10:04:24 GMT 2023","Thu Feb 09 10:05:05 GMT 2023","40610","","Inspections & Drafts","","Inspections & Drafts","INS-7: Verify that user is able to filter by company [@smoke]","INS-7: Verify that user is able to filter by company [@smoke]",""
