"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 09:41:29 GMT 2023","Thu Feb 09 09:41:38 GMT 2023","8746","","Inspections & Drafts","","Inspections & Drafts","INS-14: Verify filters by updatedAt [@smoke]","INS-14: Verify filters by updatedAt [@smoke]",""
"passed","Thu Feb 09 09:39:00 GMT 2023","Thu Feb 09 09:39:01 GMT 2023","863","","Login","","Login","LG-2: Login with valid credentials","LG-2: Login with valid credentials",""
"passed","Thu Feb 09 09:41:38 GMT 2023","Thu Feb 09 09:41:48 GMT 2023","10933","","Inspections & Drafts","","Inspections & Drafts","INS-15: Verify filters by createdAt, updatedAt [@smoke]","INS-15: Verify filters by createdAt, updatedAt [@smoke]",""
"passed","Thu Feb 09 09:41:48 GMT 2023","Thu Feb 09 09:42:06 GMT 2023","17771","","Inspections & Drafts","","Inspections & Drafts","INS-16: Verify that user is able to sort on unitID [@smoke]","INS-16: Verify that user is able to sort on unitID [@smoke]",""
"passed","Thu Feb 09 09:39:43 GMT 2023","Thu Feb 09 09:39:52 GMT 2023","9082","","Inspections & Drafts","","Inspections & Drafts","INS-6: Verify that user is able to filter by location [@smoke]","INS-6: Verify that user is able to filter by location [@smoke]",""
"passed","Thu Feb 09 09:41:11 GMT 2023","Thu Feb 09 09:41:20 GMT 2023","8905","","Inspections & Drafts","","Inspections & Drafts","INS-12: Verify that user is able to filter by damage [@smoke]","INS-12: Verify that user is able to filter by damage [@smoke]",""
"passed","Thu Feb 09 09:38:53 GMT 2023","Thu Feb 09 09:39:11 GMT 2023","17168","","Inspections & Drafts","","Inspections & Drafts","INS-1: Verify that user is able to search Notation [@smoke]","INS-1: Verify that user is able to search Notation [@smoke]",""
"passed","Thu Feb 09 09:41:02 GMT 2023","Thu Feb 09 09:41:11 GMT 2023","8777","","Inspections & Drafts","","Inspections & Drafts","INS-11: Verify that user is able to filter by department [@smoke]","INS-11: Verify that user is able to filter by department [@smoke]",""
"passed","Thu Feb 09 09:41:20 GMT 2023","Thu Feb 09 09:41:29 GMT 2023","8952","","Inspections & Drafts","","Inspections & Drafts","INS-13: Verify filters by createdAt [@smoke]","INS-13: Verify filters by createdAt [@smoke]",""
"passed","Thu Feb 09 09:40:33 GMT 2023","Thu Feb 09 09:40:42 GMT 2023","9669","","Inspections & Drafts","","Inspections & Drafts","INS-8: Verify that user is able to filter by user [@smoke]","INS-8: Verify that user is able to filter by user [@smoke]",""
"passed","Thu Feb 09 09:39:52 GMT 2023","Thu Feb 09 09:40:33 GMT 2023","40818","","Inspections & Drafts","","Inspections & Drafts","INS-7: Verify that user is able to filter by company [@smoke]","INS-7: Verify that user is able to filter by company [@smoke]",""
"passed","Thu Feb 09 09:39:11 GMT 2023","Thu Feb 09 09:39:18 GMT 2023","7581","","Inspections & Drafts","","Inspections & Drafts","INS-2: Verify that user is able to search Digital Form [@smoke]","INS-2: Verify that user is able to search Digital Form [@smoke]",""
"passed","Thu Feb 09 09:40:42 GMT 2023","Thu Feb 09 09:40:51 GMT 2023","8916","","Inspections & Drafts","","Inspections & Drafts","INS-9: Verify that user is able to filter by type [@smoke]","INS-9: Verify that user is able to filter by type [@smoke]",""
"passed","Thu Feb 09 09:38:53 GMT 2023","Thu Feb 09 09:39:00 GMT 2023","6738","","Login","","Login","LG-1: Login with invalid credentials","LG-1: Login with invalid credentials",""
"passed","Thu Feb 09 09:39:34 GMT 2023","Thu Feb 09 09:39:43 GMT 2023","9017","","Inspections & Drafts","","Inspections & Drafts","INS-5: Verify that user is able to filter by region [@smoke]","INS-5: Verify that user is able to filter by region [@smoke]",""
"passed","Thu Feb 09 09:42:06 GMT 2023","Thu Feb 09 09:42:15 GMT 2023","8591","","Inspections & Drafts","","Inspections & Drafts","INS-17: Verify that user is able to sort on createdAt [@smoke]","INS-17: Verify that user is able to sort on createdAt [@smoke]",""
"passed","Thu Feb 09 09:39:18 GMT 2023","Thu Feb 09 09:39:26 GMT 2023","7416","","Inspections & Drafts","","Inspections & Drafts","INS-3: Verify that user is able to search Digital form - Notation [@smoke]","INS-3: Verify that user is able to search Digital form - Notation [@smoke]",""
"passed","Thu Feb 09 09:42:15 GMT 2023","Thu Feb 09 09:42:23 GMT 2023","7925","","Inspections & Drafts","","Inspections & Drafts","INS-18: Verify that user is able to sort on updatedAt [@smoke]","INS-18: Verify that user is able to sort on updatedAt [@smoke]",""
"passed","Thu Feb 09 09:40:51 GMT 2023","Thu Feb 09 09:41:02 GMT 2023","10953","","Inspections & Drafts","","Inspections & Drafts","INS-10: Verify that user is able to filter by workflow [@smoke]","INS-10: Verify that user is able to filter by workflow [@smoke]",""
"passed","Thu Feb 09 09:39:26 GMT 2023","Thu Feb 09 09:39:34 GMT 2023","8111","","Inspections & Drafts","","Inspections & Drafts","INS-4: Verify that user is able to filter by unitID [@smoke]","INS-4: Verify that user is able to filter by unitID [@smoke]",""
