"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 10:00:28 GMT 2023","Thu Feb 09 10:00:39 GMT 2023","10737","","Inspections & Drafts","","Inspections & Drafts","INS-15: Verify filters by createdAt, updatedAt [@smoke]","INS-15: Verify filters by createdAt, updatedAt [@smoke]",""
"passed","Thu Feb 09 09:58:42 GMT 2023","Thu Feb 09 09:58:49 GMT 2023","7171","","Inspections & Drafts","","Inspections & Drafts","INS-3: Verify that user is able to search Digital form - Notation [@smoke]","INS-3: Verify that user is able to search Digital form - Notation [@smoke]",""
"passed","Thu Feb 09 10:01:06 GMT 2023","Thu Feb 09 10:01:13 GMT 2023","7363","","Inspections & Drafts","","Inspections & Drafts","INS-18: Verify that user is able to sort on updatedAt [@smoke]","INS-18: Verify that user is able to sort on updatedAt [@smoke]",""
"passed","Thu Feb 09 09:59:53 GMT 2023","Thu Feb 09 10:00:01 GMT 2023","8801","","Inspections & Drafts","","Inspections & Drafts","INS-11: Verify that user is able to filter by department [@smoke]","INS-11: Verify that user is able to filter by department [@smoke]",""
"passed","Thu Feb 09 10:00:01 GMT 2023","Thu Feb 09 10:00:11 GMT 2023","9729","","Inspections & Drafts","","Inspections & Drafts","INS-12: Verify that user is able to filter by damage [@smoke]","INS-12: Verify that user is able to filter by damage [@smoke]",""
"passed","Thu Feb 09 09:59:25 GMT 2023","Thu Feb 09 09:59:33 GMT 2023","8678","","Inspections & Drafts","","Inspections & Drafts","INS-8: Verify that user is able to filter by user [@smoke]","INS-8: Verify that user is able to filter by user [@smoke]",""
"passed","Thu Feb 09 10:00:11 GMT 2023","Thu Feb 09 10:00:20 GMT 2023","8647","","Inspections & Drafts","","Inspections & Drafts","INS-13: Verify filters by createdAt [@smoke]","INS-13: Verify filters by createdAt [@smoke]",""
"passed","Thu Feb 09 09:58:57 GMT 2023","Thu Feb 09 09:59:06 GMT 2023","9224","","Inspections & Drafts","","Inspections & Drafts","INS-5: Verify that user is able to filter by region [@smoke]","INS-5: Verify that user is able to filter by region [@smoke]",""
"passed","Thu Feb 09 09:58:17 GMT 2023","Thu Feb 09 09:58:35 GMT 2023","17119","","Inspections & Drafts","","Inspections & Drafts","INS-1: Verify that user is able to search Notation [@smoke]","INS-1: Verify that user is able to search Notation [@smoke]",""
"passed","Thu Feb 09 09:58:49 GMT 2023","Thu Feb 09 09:58:57 GMT 2023","7968","","Inspections & Drafts","","Inspections & Drafts","INS-4: Verify that user is able to filter by unitID [@smoke]","INS-4: Verify that user is able to filter by unitID [@smoke]",""
"passed","Thu Feb 09 09:58:17 GMT 2023","Thu Feb 09 09:58:23 GMT 2023","5471","","Login","","Login","LG-1: Login with invalid credentials","LG-1: Login with invalid credentials",""
"passed","Thu Feb 09 10:00:39 GMT 2023","Thu Feb 09 10:00:47 GMT 2023","7433","","Inspections & Drafts","","Inspections & Drafts","INS-16: Verify that user is able to sort on unitID [@smoke]","INS-16: Verify that user is able to sort on unitID [@smoke]",""
"passed","Thu Feb 09 09:59:42 GMT 2023","Thu Feb 09 09:59:53 GMT 2023","10672","","Inspections & Drafts","","Inspections & Drafts","INS-10: Verify that user is able to filter by workflow [@smoke]","INS-10: Verify that user is able to filter by workflow [@smoke]",""
"passed","Thu Feb 09 09:59:15 GMT 2023","Thu Feb 09 09:59:25 GMT 2023","9045","","Inspections & Drafts","","Inspections & Drafts","INS-7: Verify that user is able to filter by company [@smoke]","INS-7: Verify that user is able to filter by company [@smoke]",""
"passed","Thu Feb 09 09:59:06 GMT 2023","Thu Feb 09 09:59:15 GMT 2023","8984","","Inspections & Drafts","","Inspections & Drafts","INS-6: Verify that user is able to filter by location [@smoke]","INS-6: Verify that user is able to filter by location [@smoke]",""
"passed","Thu Feb 09 09:58:23 GMT 2023","Thu Feb 09 09:58:24 GMT 2023","825","","Login","","Login","LG-2: Login with valid credentials","LG-2: Login with valid credentials",""
"failed","Thu Feb 09 09:58:35 GMT 2023","Thu Feb 09 09:58:42 GMT 2023","7518","","Inspections & Drafts","","Inspections & Drafts","INS-2: Verify that user is able to search Digital Form [@smoke]","INS-2: Verify that user is able to search Digital Form [@smoke]",""
"passed","Thu Feb 09 10:00:47 GMT 2023","Thu Feb 09 10:01:06 GMT 2023","19325","","Inspections & Drafts","","Inspections & Drafts","INS-17: Verify that user is able to sort on createdAt [@smoke]","INS-17: Verify that user is able to sort on createdAt [@smoke]",""
"passed","Thu Feb 09 09:59:33 GMT 2023","Thu Feb 09 09:59:42 GMT 2023","8776","","Inspections & Drafts","","Inspections & Drafts","INS-9: Verify that user is able to filter by type [@smoke]","INS-9: Verify that user is able to filter by type [@smoke]",""
"passed","Thu Feb 09 10:00:20 GMT 2023","Thu Feb 09 10:00:28 GMT 2023","8509","","Inspections & Drafts","","Inspections & Drafts","INS-14: Verify filters by updatedAt [@smoke]","INS-14: Verify filters by updatedAt [@smoke]",""
